               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13169,            0.011002,            0.041692,          0.00058599,            0.037736,          0.00032204,           7.972e-05,             0.13261,           0.0086778,            0.039429,              0.0991,              0.0001,              0.0001
                   1,             0.13118,            0.011316,            0.042125,          0.00057159,            0.037736,          0.00032485,          6.4969e-05,             0.13196,           0.0087482,            0.038447,            0.097299,          0.00029941,          0.00029941
                   2,             0.12761,           0.0091126,            0.041398,           0.0011123,            0.075472,           0.0013197,          0.00030018,              0.1308,             0.00889,            0.036596,            0.095498,          0.00049802,          0.00049802
                   3,             0.12787,            0.011715,            0.038115,           0.0010721,            0.075472,           0.0019455,          0.00060507,              0.1292,           0.0091253,             0.03395,            0.093696,          0.00069584,          0.00069584
                   4,             0.12813,            0.010611,            0.035079,           0.0012994,             0.09434,           0.0040442,           0.0012602,              0.1272,           0.0093855,            0.030828,            0.091893,          0.00089287,          0.00089287
                   5,              0.1237,            0.012789,            0.031354,           0.0019622,             0.15094,           0.0061963,           0.0010175,             0.12576,           0.0095187,            0.027369,            0.090089,           0.0010891,           0.0010891
                   6,             0.11848,            0.013477,            0.027679,           0.0021267,             0.16981,           0.0063231,           0.0014353,              0.1242,           0.0096125,            0.023797,            0.088285,           0.0012846,           0.0012846
                   7,             0.11682,            0.015493,            0.024206,           0.0023485,             0.18868,            0.011146,             0.00163,             0.12261,           0.0099675,            0.019773,            0.086479,           0.0014792,           0.0014792
                   8,             0.11058,            0.013386,            0.020283,           0.0026525,             0.20755,            0.026653,            0.004191,             0.11913,            0.010653,            0.017766,            0.084673,           0.0016731,           0.0016731
                   9,             0.10988,            0.012822,            0.018229,           0.0024137,             0.18868,           0.0041901,          0.00071517,             0.11887,            0.011071,            0.015888,            0.082866,           0.0018661,           0.0018661
                  10,             0.11089,            0.015843,            0.016968,           0.0028229,             0.22642,           0.0053404,            0.000826,             0.12152,             0.01113,            0.014237,            0.081058,           0.0020584,           0.0020584
